question,answer
What is (are) Kidney Failure: Choosing a Treatment That's Right for You ?,"The kidneys are two bean-shaped organs, each about the size of a fist. They are located just below the rib cage, one on each side of the spine. Every day, the two kidneys filter about 120 to 150 quarts of blood to produce about 1 to 2 quarts of urine, composed of wastes and extra fluid. The urine flows from the kidneys to the bladder through two thin tubes of muscle called ureters, one on each side of the bladder. The bladder stores urine. The muscles of the bladder wall remain relaxed while the bladder fills with urine. As the bladder fills to capacity, signals sent to the brain tell a person to find a toilet soon. When the bladder empties, urine flows out of the body through a tube called the urethra, located at the bottom of the bladder. In men the urethra is long, while in women it is short."
What is (are) Kidney Failure: Choosing a Treatment That's Right for You ?,"Chronic kidney disease means you have damaged kidneys that cannot filter blood normally. Wastes then build up in your blood, harming your body. Kidney disease usually does not get better and may lead to kidney failure. If your kidneys fail, current treatment options can help you live a longer, healthier life. Some people live with kidney disease for years without needing treatment. Others progress quickly to kidney failure."
What are the treatments for Kidney Failure: Choosing a Treatment That's Right for You ?,"You have three treatment options to choose from to filter your blood. A fourth option offers care without replacing the work of the kidneys. None of these treatments helps the kidneys get better. However, they all can help you feel better.
                
- Hemodialysis uses a machine to move your blood through a filter outside your body, removing wastes.  - Peritoneal dialysis uses the lining of your belly to filter your blood inside your body, removing wastes.  - Kidney transplantation is surgery to place a healthy kidney from a person who has just died or a living person, usually a family member, into your body to take over the job of filtering your blood.  - Conservative management is the choice not to treat kidney failure with dialysis or a transplant. Instead, the focus is on using medicines to keep you comfortable, preserving kidney function through diet, and treating the problems of kidney failure, such as anemiaa shortage of red blood cells that can make you tiredand weak bones."
What is (are) Kidney Failure: Choosing a Treatment That's Right for You ?,"Purpose of Hemodialysis
                
The purpose of hemodialysis is to filter your blood. This type of dialysis uses a machine to remove harmful wastes and extra fluid, as your kidneys did when they were healthy. Hemodialysis helps control blood pressure and balance important minerals, such as potassium, sodium, calcium, and bicarbonate, in your blood. Hemodialysis is not a cure for kidney failure; however, it can help you feel better and live longer.
                
How Hemodialysis Works
                
Before you can begin dialysis, a surgeon will create a vascular access, usually in your arm. A vascular access lets high volumes of blood flow continuously during hemodialysis treatments to filter the largest possible amounts of blood per treatment.
                
Hemodialysis uses a machine to move your blood through a filter, called a dialyzer, outside your body. A pump on the hemodialysis machine draws your blood through a needle into a tube, a few ounces at a time. Your blood then travels through the tube, which takes it to the dialyzer. Inside the dialyzer, your blood flows through thin fibers that filter out wastes and extra fluid. After the dialyzer filters your blood, another tube carries your blood back to your body. You can do hemodialysis at a dialysis center or in your home.
                
Hemodialysis can replace part of your kidney function. You will also need dietary changes, medicines, and limits on water and other liquids you drink and get from food. Your dietary changes, the number of medicines you need, and limits on liquid will depend on where you receive your treatmentsat a dialysis center or at homeand how often you receive treatmentsthree or more times a week.
                
Pros and Cons of Hemodialysis
                
The pros and cons of hemodialysis differ for each person. What may be bad for one person may be good for another. Following is a list of the general pros and cons of dialysis center and home hemodialysis.
                
Dialysis Center Hemodialysis
                
Pros
                
- Dialysis centers are widely available.  - Trained health care providers are with you at all times and help administer the treatment.  - You can get to know other people with kidney failure who also need hemodialysis.  - You dont have to have a trained partner or keep equipment in your home.
                
Cons
                
- The center arranges everyones treatments and allows few exceptions to the schedule.  - You need to travel to the center for treatment.  - This treatment has the strictest diet and limits on liquids because the longer time between treatments means wastes and extra fluid can build up in your body.  - You may have more frequent ups and downs in how you feel from day to day because of the longer time between sessions.  - Feeling better after a treatment may take a few hours.
                
Home Hemodialysis
                
Pros
                
- You can do the treatment at the times you choose; however, you should follow your doctors orders about how many times a week you need treatment.  - You dont have to travel to a dialysis center.  - You gain a sense of control over your treatment.  - You will have fewer ups and downs in how you feel from day to day because of more frequent sessions.  - You can do your treatments at times that will let you work outside the home.  - You will have a more manageable diet and fewer limits on liquids because the shorter time between sessions prevents the buildup of wastes and extra fluid.  - You can take along a hemodialysis machine when traveling.  - You can spend more time with your loved ones because you dont have to go to the dialysis center three times a week.
                
Cons
                
- Not all dialysis centers offer home hemodialysis training and support.  - You and a family member or friend will have to set aside a week or more at the beginning for training.  - Helping with treatments may be stressful for your family or friend.  - You need space for storing the hemodialysis machine and supplies at home.  - You will need to learn to put dialysis needles into your vascular access.  - Medicare and private insurance companies may limit the number of treatments they will pay for when you use home hemodialysis. Few people can afford the costs for additional treatments.
                
Questions to Ask My Doctor
                
You may want to ask your doctor these questions:
                
- Is hemodialysis the best treatment choice for me? Why?   - If Im treated at a dialysis center, can I go to the center of my choice?  - What should I look for in a dialysis center?  - Will my kidney doctor see me at the dialysis center?  - What does hemodialysis feel like?  - How will hemodialysis affect my ____ [blood pressure, diabetes, other conditions]?  - Is home hemodialysis available in my area? What type of training will I need? Who will train my partner and me?  - Will I be able to keep working? Can I have treatments at night? Will I be able to care for my children?  - How much should I exercise?   - Whom do I contact if I have problems?  - Who will be on my health care team? How can the members of my health care team help me?  - If I do home hemodialysis, will my insurance pay for more than three sessions a week?  - With whom can I talk about finances, sex, or family concerns?   - How/where can I talk with other people who have faced this decision?
                
More information about Hemodialysis and Home Hemodialysis is provided in the NIDDK health topics, Treatment Methods for Kidney Failure: Hemodialysis and Home Hemodialysis. See also the Kidney Failure Treatment Comparison Chart in this booklet, which compares hemodialysis, peritoneal dialysis, and transplantation."
What is (are) Kidney Failure: Choosing a Treatment That's Right for You ?,"Purpose of Peritoneal Dialysis
                
The purpose of peritoneal dialysis is to filter wastes and extra fluid from your body. This type of dialysis uses the lining of your bellythe space in your body that holds your stomach, bowels, and liverto filter your blood. This lining, called the peritoneum, acts to do the work of your kidneys.
                
How Peritoneal Dialysis Works
                
A doctor will place a soft tube, called a catheter, in your belly a few weeks before you start treatment. The catheter stays in your belly permanently. When you start peritoneal dialysis, you will empty a kind of salty water, called dialysis solution, from a plastic bag through the catheter into your belly. When the bag is empty, you can disconnect your catheter from the bag so you can move around and do your normal activities. While the dialysis solution is inside your belly, it soaks up wastes and extra fluid from your body. After a few hours, you drain the used dialysis solution through another tube into a drain bag. You can throw away the used dialysis solution, now filled with wastes and extra fluid, in a toilet or tub. Then you start over with a fresh bag of dialysis solution. The process of emptying the used dialysis solution and refilling your belly with fresh solution is called an exchange. The process goes on continuously, so you always have dialysis solution in your belly soaking up wastes and extra fluid from your body.
                
Types of Peritoneal Dialysis
                
Two types of peritoneal dialysis are available. After you have learned about the types of peritoneal dialysis, you can choose the type that best fits your life. If one schedule or type of peritoneal dialysis does not suit you, talk with your doctor about trying the other type.
                
- Continuous ambulatory peritoneal dialysis does not require a machine and you can do it in any clean, well-lit place. The time period that the dialysis solution is in your belly is the dwell time. With continuous ambulatory peritoneal dialysis, the dialysis solution stays in your belly for a dwell time of 4 to 6 hours, or more. The process of draining the used dialysis solution and replacing it with fresh solution takes about 30 to 40 minutes. Most people change the dialysis solution at least four times a day and sleep with solution in their belly at night. With continuous ambulatory peritoneal dialysis, you do not have to wake up and perform dialysis tasks during the night.  - Continuous cycler-assisted peritoneal dialysis uses a machine called a cycler to fill and empty your belly three to five times during the night while you sleep. In the morning, you begin one exchange with a dwell time that lasts the entire day. You may do an additional exchange in the middle of the afternoon without the cycler to increase the amount of waste removed and to reduce the amount of fluid left behind in your body.
                
You may need a combination of continuous ambulatory peritoneal dialysis and continuous cycler-assisted peritoneal dialysis if you weigh more than 175 pounds or if your peritoneum filters wastes slowly. For example, some people use a cycler at night and perform one exchange during the day. Others do four exchanges during the day and use a minicycler to perform one or more exchanges during the night. Youll work with your health care team to find the best schedule for you.
                
Pros and Cons of Peritoneal Dialysis
                
Each type of peritoneal dialysis has pros and cons.
                
Continuous Ambulatory Peritoneal Dialysis
                
Pros
                
- You can do continuous ambulatory peritoneal dialysis alone.  - You can do continuous ambulatory peritoneal dialysis at the times you choose, as long as you perform the required number of exchanges each day.  - You can do continuous ambulatory peritoneal dialysis in many locations.  - You can travel as long as you bring dialysis bags with you or have them delivered to your destination.  - You dont need a machine for continuous ambulatory peritoneal dialysis.  - You gain a sense of control over your treatment.
                
Cons
                
- Continuous ambulatory peritoneal dialysis can disrupt your daily schedule.  - Continuous ambulatory peritoneal dialysis is a continuous treatment, and you should do all exchanges 7 days a week.  - Boxes of dialysis solution will take up space in your home.
                
Continuous Cycler-assisted Peritoneal Dialysis
                
Pros
                
- You can do exchanges at night, while you sleep.  - You may not have to perform exchanges during the day.
                
Cons
                
- You need a machine.  - Your connection to the cycler limits your movement at night.
                
Questions to Ask My Doctor
                
- Is peritoneal dialysis the best treatment choice for me? Why? If yes, which type is best?   - What type of training do I need, and how long will it take?  - What does peritoneal dialysis feel like?   - How will peritoneal dialysis affect my ____ [blood pressure, diabetes, other conditions]?   - Will I be able to keep working? Will I be able to care for my children?   - How much should I exercise?   - Where do I store supplies?   - How often do I see my doctor?   - Who will be on my health care team? How can the members of my health care team help me?   - Whom do I contact if I have problems?   - With whom can I talk about finances, sex, or family concerns?   - How/where can I talk with other people who have faced this decision?
                
More information about Peritoneal Dialysis is provided in the NIDDK health topic, Treatment Methods for Kidney Failure: Peritoneal Dialysis. See also the Kidney Failure Treatment Comparison Chart, which compares peritoneal dialysis, hemodialysis, and transplantation."
What is (are) Kidney Failure: Choosing a Treatment That's Right for You ?,"What should I know about kidney transplantation?
                
The purpose of kidney transplantation is to surgically place a healthy kidney from a donora person who has just died or a living person, most often a family memberinto your body. A kidney from someone who has just died is a deceased donor kidney. A kidney from a living person is a living donor kidney. A functioning kidney transplant does a better job of filtering wastes and keeping you healthy than dialysis.
                
How Kidney Transplantation Works
                
Surgeonsdoctors who specialize in surgeryplace most transplanted kidneys in the lower front part of your abdomen. The kidney is connected to an artery, which brings unfiltered blood into the kidney, and a vein, which takes filtered blood out of the kidney. The surgeon also transplants the ureter from the donor to let urine from the new kidney flow to your bladder. Unless your damaged kidneys cause problems such as infection, they can remain in their normal position. The transplanted kidney takes over the job of filtering your blood. Your body normally attacks anything it sees as foreign, so to keep your body from attacking the kidney you need to take medicines called immunosuppressants for as long as the transplanted kidney functions.
                
Pros and Cons of Kidney Transplantation
                
Following is a list of the pros and cons of kidney transplantation.
                
Kidney Transplantation
                
Pros
                
- A transplanted kidney works like a healthy kidney.  - If you have a living donor, you can choose the time of your operation.  - You may feel healthier and have an improved quality of life.  - You have fewer dietary restrictions.  - You wont need dialysis.  - People who receive a donated kidney have a greater chance of living a longer life than those who stay on dialysis.
                
Cons
                
- Transplantation requires surgery.  - You will go through extensive medical testing at the transplant clinic.  - You may need to wait years for a deceased donor kidney.  - Your body may reject the new kidney, so one transplant may not last a lifetime.  - Youll need to take immunosuppressants, which may cause other health problems, for as long as the transplanted kidney functions.
                
Questions to Ask My Doctor
                
You may want to ask your doctor these questions:
                
- Is transplantation the best treatment choice for me? Why?  - What are my chances of having a successful transplant?  - How do I find out whether a family member or friend can donate?  - What are the risks to a family member or friend who donates?  - If a family member or friend does not donate, who will place me on a waiting list for a kidney? How long will I have to wait?  - How will I know if my donor kidney is working?  - How long does a transplanted kidney function?  - What side effects do immunosuppressants cause?  - Who will be on my transplant team? How can the members of my transplant team help me?  - With whom can I talk about finances, sex, or family concerns?  - How/where can I talk with other people who have faced this decision?
                
More information about Transplantation is provided in the NIDDK health topic, Treatment Methods for Kidney Failure: Transplantation. See also the Kidney Failure Treatment Comparison Chart, which compares peritoneal dialysis, hemodialysis, and transplantation."
What are the treatments for Kidney Failure: Choosing a Treatment That's Right for You ?,"Conservative management for kidney failure is the choice to say no to or stop dialysis treatments. For many people, dialysis not only extends life, it also improves the quality of life. For others who have serious conditions in addition to kidney failure, dialysis may seem like a burden that only prolongs suffering. If you have serious conditions in addition to kidney failure, dialysis may not prolong your life or improve the quality of your life.
                
You have the right to say no to or stop dialysis. You may want to speak with your doctor, spouse, family, counselor, or renal social worker, who helps people with kidney disease, to help you make this decision.
                
If you stop dialysis treatments or say you do not want to begin them, you may live for a few weeks or for several months, depending on your health and your remaining kidney function. You may choose to receive care from a hospicea facility or home program designed to meet the physical and emotional needs of the terminally illduring this time. Hospice care focuses on relief of pain and other symptoms. Whether or not you choose to use a hospice, your doctor can give you medicines to make you more comfortable. Your doctor can also give you medicines to treat the problems of kidney failure, such as anemia or weak bones. You may restart dialysis treatment if you change your mind.
                
Advance Directives
                
An advance directive is a statement or document in which you give instructions either to withhold certain treatments, such as dialysis, or to provide them, depending on your wishes and the specific circumstances. Even if you are happy with your quality of life on dialysis, you should think about circumstances that might make you want to stop dialysis treatments. At some point in a medical crisis, you might lose the ability to tell your health care team and loved ones what you want. Advance directives may include
                
- a living will  - a durable power of attorney for health care decisions  - a do not resuscitate (DNR) ordera legal form that tells your health care team you do not want cardiopulmonary resuscitation (CPR) or other life-sustaining treatment if your heart were to stop or if you were to stop breathing.
                
A living will is a document that details the conditions under which you would want to refuse treatment. You may state that you want your health care team to use all available means to sustain your life, or you may direct that you be withdrawn from dialysis if you fall into a coma from which you most likely wont wake up. In addition to dialysis, you may choose or refuse the following life-sustaining treatments:
                
- CPR  - feedings through a tube in your stomach  - mechanical or artificial means to help you breathe  - medicines to treat infections  - surgery  - receiving blood
                
Refusing to have CPR is the same as a DNR order. If you choose to have a DNR order, your doctor will place the order in your medical chart.
                
A durable power of attorney for health care decisions or a health care proxy is a document you use to assign a person to make health care decisions for you in the event you cannot make them for yourself. Make sure the person you name understands your values and will follow your instructions.
                
Each state has its own laws on advance directives. You can obtain a form for an advance medical directive thats valid in your state from the National Hospice and Palliative Care Organizationsee For More Information."
What to do for Kidney Failure: Choosing a Treatment That's Right for You ?,"All of the treatment options for kidney failure require changes and restrictions in your diet.
                
Hemodialysis
                
Hemodialysis has the most restrictions. You should watch how much water and other liquids you get from food and drinks and avoid getting too much sodium, often from salt; potassium; and phosphorus. You may find it difficult to limit phosphorus because many foods that are high in phosphorus also provide the protein you need. Hemodialysis can remove protein from the body, so you should eat foods with high-quality protein, such as meat, fish, and eggs. Limit your phosphorus by avoiding foods such as beans, peas, nuts, tea, and colas. You may also need to take a pill called a phosphate binder that keeps phosphorus in your food from entering your bloodstream. Talk with your dialysis centers dietitian to find a hemodialysis meal plan that works for you.
                
More information about nutrition for people who are on hemodialysis is provided in the NIDDK health topic, Eat Right to Feel Right on Hemodialysis.
                
Peritoneal Dialysis
                
Like hemodialysis, peritoneal dialysis requires limits on sodium and phosphorus. You may need to take a phosphate binder. The liquid limitations in peritoneal dialysis may not be as strict as those for hemodialysis. In fact, you may need to drink more water and other liquids if your peritoneal dialysis treatments remove too much fluid from your body. Peritoneal dialysis removes potassium from the body, so you may need to eat potassium-rich foods such as potatoes, tomatoes, oranges, and bananas. However, be careful not to eat too much potassium because it can cause an unsteady heartbeat. Peritoneal dialysis removes even more protein than hemodialysis, so eating foods with high-quality protein is important. You may need to limit calories because your body absorbs sugar from the dialysis solution.
                
Kidney Transplantation
                
Kidney transplantation has the fewest restrictions on your diet. You should limit sodium because it can raise your blood pressure. Medicines that you take after the transplant can cause you to gain weight, so you may need to limit calories.
                
Conservative Management
                
The diet for conservative management limits protein. Protein breaks down into waste products the kidneys must remove. Limiting protein may reduce the amount of work the kidneys have to do so they will last longer.
                

                
Hemodialysis    Peritoneal Dialysis    Kidney Transplantation                 In Center                 Home                 CAPD                 CCPD                 Deceased                 Living                     Schedule                 Three treatments a week for 3 to 5 hours or more.                 More flexibility in determining your schedule of treatments.                 Four to six exchanges a day, every day.                 Three to five exchanges a night, every night, with an additional exchange begun first thing in the morning.                 You may wait several years before a suitable kidney is available.                 If a friend or family member is donating, you can schedule the operation when you're both ready.                     After the operation, you'll have regular checkups with your doctor.                     Location                 Dialysis center.                 Home.                 Any clean environment that allows solution exchanges.                 The transplant operation takes place in a hospital.                     Availability                 Available in most communities; may require travel in some rural areas.                 Generally available, but not widely used because of equipment requirements.                 Widely available.                 Widely available.                 Transplant centers are located throughout the country. However, the demand for kidneys is far greater than the supply.                     Equipment      and Supplies                 No equipment or supplies in the home.                 Hemodialysis machine connected to plumbing; chair.                 Bags of dialysis solution take up storage space.                 Cycling machine; bags of dialysis solution.                 No equipment or supplies needed.                     Training Required                 Little training required; clinic staff perform most tasks.                 You and a helper must attend several training sessions.                 You'll need to attend several training sessions.                 You'll need to learn about your medications and when to take them.                     Diet                 Must limit fluids, sodium, potassium, and phosphorus.                 Must limit sodium and calories.                 Fewer dietary restrictions.                     Level of Freedom                 Little freedom during treatments. Greater freedom on non-treatment days.                 More freedom to set your own schedule. You're still linked to a machine for several hours a week.                 You can move around, exercise, work, drive, etc., with solution in your abdomen.                 You're linked to a machine during the night. You're free from exchanges during the day.                 Offers the greatest amount of freedom.                     Level of Responsibility                 Some patients prefer to let clinic staff perform all tasks.                 You and your helper are responsible for cleaning and setting up equipment and monitoring vital signs. Can be stressful on family helpers.                 You must perform exchanges four to six times a day, every day.                 You must set up your cycler every night.                 You must take immunosuppressants every day for as long as the transplanted kidney functions.
                
More information about the treatments for kidney failure is provided in the NIDDK health communication program, National Kidney Disease Education Program."
What to do for Kidney Failure: Choosing a Treatment That's Right for You ?,"- You have three treatment options to choose from to filter your blood. A fourth option offers care without replacing the work of the kidneys.      - Hemodialysis    - Peritoneal dialysis    - Kidney transplantation    - Conservative management    - None of these treatments helps the kidneys get better. However, they all can help you feel better.  - Hemodialysis uses a machine to move your blood through a filter outside your body, removing wastes.  - Peritoneal dialysis uses the lining of your belly to filter your blood inside your body, removing wastes.  - Kidney transplantation is surgery to place a healthy kidney from a person who has just died or a living person, usually a family member, into your body to take over the job of filtering your blood.  - Conservative management is the choice not to treat kidney failure with dialysis or a transplant.  - All of the treatment options for kidney failure require changes and restrictions in your diet."
What is (are) What I need to know about Hirschsprung Disease ?,"Hirschsprung* disease (HD) is a disease of the large intestine that causes severe constipation or intestinal obstruction. Constipation means stool moves through the intestines slower than usual. Bowel movements occur less often than normal and stools are difficult to pass. Some children with HD cant pass stool at all, which can result in the complete blockage of the intestines, a condition called intestinal obstruction. People with HD are born with it and are usually diagnosed when they are infants. Less severe cases are sometimes diagnosed when a child is older. An HD diagnosis in an adult is rare.
                
*See Pronunciation Guide for tips on how to say the words in bold type."
What is (are) What I need to know about Hirschsprung Disease ?,"The large intestine, which includes the colon and rectum, is the last part of the digestive tract. The large intestines main job is to absorb water and hold stool. The rectum connects the colon to the anus. Stool passes out of the body through the anus. At birth, the large intestine is about 2 feet long. An adults large intestine is about 5 feet long."
What causes What I need to know about Hirschsprung Disease ?,"People with HD have constipation because they lack nerve cells in a part or all of the large intestine. The nerve cells signal muscles in the large intestine to push stool toward the anus. Without a signal to push stool along, stool will remain in the large intestine.
                
How severe HD is depends on how much of the large intestine is affected. Short-segment HD means only the last part of the large intestine lacks nerve cells. Long-segment HD means most or all of the large intestine, and sometimes the last part of the small intestine, lacks nerve cells.
                
In a person with HD, stool moves through the large intestine until it reaches the part lacking nerve cells. At that point, the stool moves slowly or stops, causing an intestinal obstruction."
What causes What I need to know about Hirschsprung Disease ?,"Before birth, a childs nerve cells normally grow along the intestines in the direction of the anus. With HD, the nerve cells stop growing too soon. Why the nerve cells stop growing is unclear. Some HD is inherited, meaning it is passed from parent to child through genes. HD is not caused by anything a mother did while pregnant."
What are the symptoms of What I need to know about Hirschsprung Disease ?,"The main symptoms of HD are constipation or intestinal obstruction, usually appearing shortly after birth. Constipation in infants and children is common and usually comes and goes, but if your child has had ongoing constipation since birth, HD may be the problem.
                
Symptoms in Newborns
                
Newborns with HD almost always fail to have their first bowel movement within 48 hours after birth. Other symptoms include
                
- green or brown vomit  - explosive stools after a doctor inserts a finger into the rectum  - swelling of the belly, also known as the abdomen  - lots of gas  - bloody diarrhea
                

                
Symptoms in Toddlers and Older Children
                
Symptoms of HD in toddlers and older children include
                
- not being able to pass stools without laxatives or enemas. A laxative is medicine that loosens stool and increases bowel movements. An enema is performed by flushing water, or sometimes a mild soap solution, into the anus using a special wash bottle.  - swelling of the abdomen.  - lots of gas.  - bloody diarrhea.  - slow growth or development.  - lack of energy because of a shortage of red blood cells, called anemia."
How to diagnose What I need to know about Hirschsprung Disease ?,"HD is diagnosed based on symptoms and test results.
                
A doctor will perform a physical exam and ask questions about your childs bowel movements. HD is much less likely if parents can identify a time when their childs bowel habits were normal.
                
If HD is suspected, the doctor will do one or more tests.
                
X rays
                
An x ray is a black-and-white picture of the inside of the body. To make the large intestine show up better, the doctor may fill it with barium liquid. Barium liquid is inserted into the large intestine through the anus.
                
If HD is the problem, the last segment of the large intestine will look narrower than normal. Just before this narrow segment, the intestine will look bulged. The bulging is caused by blocked stool stretching the intestine.
                
Manometry
                
During manometry, the doctor inflates a small balloon inside the rectum. Normally, the rectal muscles will relax. If the muscles dont relax, HD may be the problem. This test is most often done in older children and adults.
                
Biopsy
                
Biopsy is the most accurate test for HD. The doctor removes a tiny piece of the large intestine and looks at it with a microscope. If nerve cells are missing, HD is the problem."
What are the treatments for What I need to know about Hirschsprung Disease ?,"Pull-through Procedure
                
HD is treated with surgery called a pull-through procedure. A surgeon removes the segment of the large intestine lacking nerve cells and connects the healthy segment to the anus. The pull-through procedure is usually done soon after diagnosis.
                
Ostomy surgery
                
An ostomy allows stool to leave the body through an opening in the abdomen. Although most children with HD do not need an ostomy, a child who has been very sick from HD may need an ostomy to get better before the pull-through procedure.
                
For ostomy surgery, the surgeon first takes out the diseased segment of the large intestine. The end of the healthy intestine is moved to an opening in the abdomen where a stoma is created. A stoma is created by rolling the intestines end back on itself, like a shirt cuff, and stitching it to the abdominal wall. An ostomy pouch is attached to the stoma and worn outside the body to collect stool. The pouch will need to be emptied several times each day.
                

                
If the surgeon removes the entire large intestine and connects the small intestine to the stoma, the surgery is called an ileostomy. If the surgeon leaves part of the large intestine and connects it to the stoma, the surgery is called a colostomy.
                
Later, during the pull-through procedure, the surgeon removes the stoma and closes the abdomen with stitches."
What to do for What I need to know about Hirschsprung Disease ?,"- Hirschsprung disease (HD) is a disease of the large intestine that causes severe constipation or intestinal obstruction. People with HD are born with it.  - The large intestine, which includes the colon and rectum, is the last part of the digestive tract.  - The cause of HD is unclear. HD is not caused by anything a mother did while pregnant.  - The main symptoms of HD are constipation or intestinal obstruction, usually appearing shortly after birth.  - Newborns with HD almost always fail to have their first bowel movement within 48 hours after birth.  - HD is diagnosed based on symptoms and test results.  - HD is treated with surgery called a pull-through procedure.  - A child who has been very sick from HD may need an ostomy to get better before the pull-through procedure.  - Most children pass stool normally after the pull-through procedure.  - People with HD can suffer from an infection of the intestines, called enterocolitis, before or after surgery.  - If you have a child with HD, your chance of having more children with HD is greater."
What to do for What I need to know about Physical Activity and Diabetes ?,"- Starting a physical activity program can help you lose weight or keep a healthy weight and keep your blood glucose levels on target.  - Always talk with your health care team before you start a new physical activity program.  - Ask your health care team if you need to change the amount of medicine you take or the food you eat before any physical activity.  - Talk with your health care team about what types of physical activity are safe for you, such as walking, weightlifting, or housework.  - To make sure you stay active, find activities you like to do. Ask a friend or family member to be your exercise buddy.  - Write down your blood glucose levels and when and how long you are physically active in a record book.  - Doctors suggest that you aim for 30 to 60 minutes of moderate to vigorous physical activity most days of the week.  - Children and adolescents with type 2 diabetes who are 10 to 17 years old should aim for 60 minutes of moderate to vigorous activity every day.  - Not all physical activity has to take place at the same time. For example, you might take a walk for 20 minutes, lift hand weights for 10 minutes, and walk up and down the stairs for 5 minutes.  - Doing moderate to vigorous aerobic exercise for 30 to 60 minutes a day most days of the week provides many benefits. You can even split up these minutes into several parts.  - Start exercising slowly, with 5 to 10 minutes a day, and add a little more time each week. Try walking briskly, hiking, or climbing stairs.  - Whether youre a man or a woman, you can do strength training with hand weights, elastic bands, or weight machines two to three times a week.  - Stretching exercises are a light to moderate physical activity that both men and women can do. When you stretch, you increase your flexibility, lower your stress, and help prevent sore muscles.  - Increase daily activity by spending less time watching TV or at the computer.  - Try these simple ways to add light, moderate, or vigorous physical activities in your life every day:      - Walk around while you talk on the phone.    - Take a walk through your neighborhood.    - Do chores, such as work in the garden or rake leaves, clean the house, or wash the car.    - If you have type 1 diabetes, try not to do vigorous physical activity when you have ketones in your blood or urine."
What is (are) Hyperthyroidism ?,"Hyperthyroidism is a disorder that occurs when the thyroid gland makes more thyroid hormone than the body needs. Hyperthyroidism is sometimes called thyrotoxicosis, the technical term for too much thyroid hormone in the blood. Thyroid hormones circulate throughout the body in the bloodstream and act on virtually every tissue and cell in the body. Hyperthyroidism causes many of the bodys functions to speed up. About 1 percent of the U.S. population has hyperthyroidism.1"
What is (are) Hyperthyroidism ?,"The thyroid is a 2-inch-long, butterfly-shaped gland weighing less than 1 ounce. Located in the front of the neck below the larynx, or voice box, it has two lobes, one on each side of the windpipe. The thyroid is one of the glands that make up the endocrine system. The glands of the endocrine system produce, store, and release hormones into the bloodstream. The hormones then travel through the body and direct the activity of the bodys cells.
                
The thyroid gland makes two thyroid hormones, triiodothyronine (T3) and thyroxine (T4). T3 is made from T4 and is the more active hormone, directly affecting the tissues. Thyroid hormones affect metabolism, brain development, breathing, heart and nervous system functions, body temperature, muscle strength, skin dryness, menstrual cycles, weight, and cholesterol levels.
                
Thyroid hormone production is regulated by thyroid-stimulating hormone (TSH), which is made by the pituitary gland in the brain. When thyroid hormone levels in the blood are low, the pituitary releases more TSH. When thyroid hormone levels are high, the pituitary responds by decreasing TSH production."
